Date,Volume
1984-06-14,100956800
1984-06-15,89779200
1984-06-18,114598400
1984-06-19,160944000
1984-06-20,119526400
1984-06-21,141904000
1984-06-22,84604800
1984-06-25,167484800
1984-06-26,148646400
1984-06-27,377283200
1984-06-28,118316800
1984-06-29,141993600
1984-07-02,159667200
1984-07-03,179065600
1984-07-05,93184000
1984-07-06,95648000
1984-07-09,190668800
1984-07-10,172300800
1984-07-11,121094400
1984-07-12,168694400
1984-07-13,135945600
1984-07-16,202988800
1984-07-17,84851200
1984-07-18,104025600
1984-07-19,77907200
1984-07-20,33174400
1984-07-23,94035200
1984-07-24,179244800
1984-07-25,200457600
1984-07-26,143337600
1984-07-27,73942400
1984-07-30,125036800
1984-07-31,199628800
1984-08-01,285734400
1984-08-02,303676800
1984-08-03,618060800
1984-08-06,626796800
1984-08-07,332483200
1984-08-08,294403200
1984-08-09,257622400
1984-08-10,397376000
1984-08-13,241449600
1984-08-14,174070400
1984-08-15,178886400
1984-08-16,144816000
1984-08-17,153932800
1984-08-20,138454400
1984-08-21,179536000
1984-08-22,220416000
1984-08-23,83417600
1984-08-24,70896000
1984-08-27,87673600
1984-08-28,59158400
1984-08-29,74121600
1984-08-30,50960000
1984-08-31,137849600
1984-09-04,119840000
1984-09-05,103756800
1984-09-06,130972800
1984-09-07,83260800
1984-09-10,64624000
1984-09-11,152387200
1984-09-12,133123200
1984-09-13,207334400
1984-09-14,246870400
1984-09-17,192752000
1984-09-18,97305600
1984-09-19,106288000
1984-09-20,66169600
1984-09-21,99836800
1984-09-24,79004800
1984-09-25,166790400
1984-09-26,110969600
1984-09-27,105929600
1984-09-28,233408000
1984-10-01,97776000
1984-10-02,118249600
1984-10-03,120422400
1984-10-04,125484800
1984-10-05,97574400
1984-10-08,46972800
1984-10-09,125260800
1984-10-10,364851200
1984-10-11,182761600
1984-10-12,265798400
1984-10-15,243264000
1984-10-16,118025600
1984-10-17,156643200
1984-10-18,247161600
1984-10-19,326121600
1984-10-22,114755200
1984-10-23,186435200
1984-10-24,167014400
1984-10-25,158166400
1984-10-26,114844800
1984-10-29,50646400
1984-10-30,74592000
1984-10-31,60233600
1984-11-01,47040000
1984-11-02,27686400
1984-11-05,105369600
1984-11-06,225321600
1984-11-07,231548800
1984-11-08,88121600
1984-11-09,294134400
1984-11-12,113254400
1984-11-13,126672000
1984-11-14,104339200
1984-11-15,106601600
1984-11-16,165760000
1984-11-19,232982400
1984-11-20,263244800
1984-11-21,178729600
1984-11-23,137088000
1984-11-26,100643200
1984-11-27,127411200
1984-11-28,410524800
1984-11-29,174876800
1984-11-30,108707200
1984-12-03,98000000
1984-12-04,120377600
1984-12-05,262908800
1984-12-06,317273600
1984-12-07,494524800
1984-12-10,111484800
1984-12-11,123782400
1984-12-12,110073600
1984-12-13,66841600
1984-12-14,96140800
1984-12-17,125238400
1984-12-18,340569600
1984-12-19,317497600
1984-12-20,139843200
1984-12-21,123894400
1984-12-24,67536000
1984-12-26,67177600
1984-12-27,98761600
1984-12-28,165334400
1984-12-31,207760000
1985-01-02,175302400
1985-01-03,166611200
1985-01-04,137267200
1985-01-07,170912000
1985-01-08,141120000
1985-01-09,166723200
1985-01-10,277065600
1985-01-11,205049600
1985-01-14,270435200
1985-01-15,264969600
1985-01-16,189884800
1985-01-17,547523200
1985-01-18,352665600
1985-01-21,325427200
1985-01-22,424838400
1985-01-23,430505600
1985-01-24,397062400
1985-01-25,318460800
1985-01-28,412182400
1985-01-29,223731200
1985-01-30,492441600
1985-01-31,276236800
1985-02-01,137737600
1985-02-04,218019200
1985-02-05,190041600
1985-02-06,194432000
1985-02-07,245481600
1985-02-08,132025600
1985-02-11,346953600
1985-02-12,226508800
1985-02-13,527027200
1985-02-14,426832000
1985-02-15,173622400
1985-02-19,149833600
1985-02-20,219968000
1985-02-21,308224000
1985-02-22,226531200
1985-02-25,98537600
1985-02-26,188966400
1985-02-27,403580800
1985-02-28,319065600
1985-03-01,247430400
1985-03-04,153104000
1985-03-05,130771200
1985-03-06,193603200
1985-03-07,733980800
1985-03-08,473558400
1985-03-11,286003200
1985-03-12,219430400
1985-03-13,251126400
1985-03-14,241606400
1985-03-15,181417600
1985-03-18,124768000
1985-03-19,171449600
1985-03-20,404969600
1985-03-21,162467200
1985-03-22,80371200
1985-03-25,109961600
1985-03-26,121430400
1985-03-27,111350400
1985-03-28,129606400
1985-03-29,87180800
1985-04-01,114060800
1985-04-02,227427200
1985-04-03,242659200
1985-04-04,161862400
1985-04-08,198732800
1985-04-09,263894400
1985-04-10,226912000
1985-04-11,146675200
1985-04-12,72531200
1985-04-15,59830400
1985-04-16,67648000
1985-04-17,123244800
1985-04-18,202428800
1985-04-19,96028800
1985-04-22,102592000
1985-04-23,118294400
1985-04-24,78937600
1985-04-25,87628800
1985-04-26,119705600
1985-04-29,62204800
1985-04-30,94729600
1985-05-01,57344000
1985-05-02,329772800
1985-05-03,158121600
1985-05-06,56134400
1985-05-07,107609600
1985-05-08,144390400
1985-05-09,127075200
1985-05-10,136080000
1985-05-13,87225600
1985-05-14,121744000
1985-05-15,130435200
1985-05-16,230540800
1985-05-17,211859200
1985-05-20,197187200
1985-05-21,152544000
1985-05-22,120556800
1985-05-23,239164800
1985-05-24,589478400
1985-05-28,510966400
1985-05-29,246556800
1985-05-30,314921600
1985-05-31,369420800
1985-06-03,576016000
1985-06-04,401923200
1985-06-05,286406400
1985-06-06,271196800
1985-06-07,475238400
1985-06-10,316131200
1985-06-11,300720000
1985-06-12,247990400
1985-06-13,379523200
1985-06-14,565667200
1985-06-17,236342400
1985-06-18,265216000
1985-06-19,171987200
1985-06-20,190803200
1985-06-21,166140800
1985-06-24,205766400
1985-06-25,293910400
1985-06-26,132204800
1985-06-27,192460800
1985-06-28,135744000
1985-07-01,103443200
1985-07-02,77728000
1985-07-03,68499200
1985-07-05,36579200
1985-07-08,92220800
1985-07-09,147907200
1985-07-10,106041600
1985-07-11,64892800
1985-07-12,47040000
1985-07-15,77683200
1985-07-16,143360000
1985-07-17,118182400
1985-07-18,179065600
1985-07-19,114912000
1985-07-22,192304000
1985-07-23,168694400
1985-07-24,168716800
1985-07-25,315078400
1985-07-26,130524800
1985-07-29,77750400
1985-07-30,89465600
1985-07-31,80505600
1985-08-01,51564800
1985-08-02,97417600
1985-08-05,92332800
1985-08-06,63078400
1985-08-07,151737600
1985-08-08,147772800
1985-08-09,60950400
1985-08-12,54992000
1985-08-13,42380800
1985-08-14,289900800
1985-08-15,105190400
1985-08-16,83753600
1985-08-19,47868800
1985-08-20,66953600
1985-08-21,77011200
1985-08-22,123312000
1985-08-23,44016000
1985-08-26,35660800
1985-08-27,42918400
1985-08-28,40947200
1985-08-29,56112000
1985-08-30,42873600
1985-09-03,37452800
1985-09-04,47555200
1985-09-05,32816000
1985-09-06,92803200
1985-09-09,132316800
1985-09-10,121766400
1985-09-11,87091200
1985-09-12,111171200
1985-09-13,70537600
1985-09-16,36982400
1985-09-17,183747200
1985-09-18,120086400
1985-09-19,186323200
1985-09-20,135228800
1985-09-23,118585600
1985-09-24,88099200
1985-09-25,104496000
1985-09-26,53491200
1985-09-30,36646400
1985-10-01,88345600
1985-10-02,21504000
1985-10-03,48921600
1985-10-04,69529600
1985-10-07,91929600
1985-10-08,86979200
1985-10-09,82812800
1985-10-10,261744000
1985-10-11,118294400
1985-10-14,155187200
1985-10-15,293888000
1985-10-16,288444800
1985-10-17,348185600
1985-10-18,230428800
1985-10-21,118876800
1985-10-22,424547200
1985-10-23,148377600
1985-10-24,272630400
1985-10-25,63280000
1985-10-28,59472000
1985-10-29,130883200
1985-10-30,226576000
1985-10-31,155075200
1985-11-01,92556800
1985-11-04,155724800
1985-11-05,107542400
1985-11-06,200457600
1985-11-07,317139200
1985-11-08,294112000
1985-11-11,178774400
1985-11-12,173644800
1985-11-13,101561600
1985-11-14,139507200
1985-11-15,81580800
1985-11-18,64556800
1985-11-19,94326400
1985-11-20,99075200
1985-11-21,102950400
1985-11-22,128755200
1985-11-25,97193600
1985-11-26,164460800
1985-11-27,191721600
1985-11-29,99030400
1985-12-02,100195200
1985-12-03,155075200
1985-12-04,165110400
1985-12-05,125148800
1985-12-06,65452800
1985-12-09,139865600
1985-12-10,200905600
1985-12-11,237619200
1985-12-12,125260800
1985-12-13,251148800
1985-12-16,288915200
1985-12-17,109065600
1985-12-18,559798400
1985-12-19,270121600
